first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Cuisine et Maison,Chauffage et climatisation,Kamberg - Radiateur Soufflant Salle de Bain - Chauffage d'appoint soufflant - Faible consommation - Silencieux - 2000 W - Blanc,https://www.amazon.fr/Kamberg-Radiateur-Soufflant-consommation-Silencieux/dp/B0CKXLQ8Q7/ref=zg_bs_g_3332669031_d_sccl_18/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/517Gx83-cgL._AC_UL900_SR900,600_.jpg",22.9,49,3.7
Cuisine et Maison,Chauffage et climatisation,"Jsdoin Mini Ventilateur à Main USB Portatif Portable Ventilateur De Bureau, Petit Ventilateur de Poche 5 Vitesses Avec Base, Ventilateur de Bureau Pliable Pour Bureau, Extérieur(Bleu foncé)",https://www.amazon.fr/Jsdoin-Ventilateur-Portatif-Portable-Ext%C3%A9rieur/dp/B0BRV61DPY/ref=zg_bs_g_3332669031_d_sccl_19/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71CCC5B9H+L._AC_UL900_SR900,600_.jpg",15.99,2782,4.6
Cuisine et Maison,Chauffage et climatisation,"Rubson Sensation Energy, 2 Recharges universelles de 300 gr pour absorbeur d'humidité, Recharge 3-en-1 anti-humidité & anti-odeur et qui offre une sensation fraîche, parfum fruits",https://www.amazon.fr/Sensation-Recharges-universelles-anti-humidit%C3%A9-anti-odeur/dp/B008F8IETI/ref=zg_bs_g_3332669031_d_sccl_20/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81I++VZ+TiL._AC_UL900_SR900,600_.jpg",8.6,1003,4.5
Cuisine et Maison,Chauffage et climatisation,Delonghi HVY1020 Radiateur soufflant salle de bain Blanc 2000 W,https://www.amazon.fr/Delonghi-HVY1020-Radiateur-soufflant-salle/dp/B003UV9XD6/ref=zg_bs_g_3332669031_d_sccl_21/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51ZA6Jn+vGL._AC_UL900_SR900,600_.jpg",34.99,1368,4.4
Cuisine et Maison,Chauffage et climatisation,"LEVOIT Humidificateur d'air bébé Top-Fill, 2.5 L Jusqu'à 25H Durable, 26 dB Silencieux, Arrêt Auto, Buse à 360°, Humidificateur d'air Mini avec Bouton facile à utiliser sans BPA pour Chambre Bébé",https://www.amazon.fr/LEVOIT-Humidificateur-Top-Fill-Silencieux-utiliser/dp/B0CRRCRBN4/ref=zg_bs_g_3332669031_d_sccl_22/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51ousrSgZZL._AC_UL900_SR900,600_.jpg",35.99,6088,4.4
Cuisine et Maison,Chauffage et climatisation,"Klarstein Radiateur Electrique à Convection, Faible Consommation d'Energie, Chauffage Electrique d'Intérieur de 2500W avec Thermostat, Chauffage Mural et Portable, Chauffage d'Appoint, Radiateurs",https://www.amazon.fr/Electrique-Convection-Consommation-dInt%C3%A9rieur-Thermostat/dp/B0CLDG1L2J/ref=zg_bs_g_3332669031_d_sccl_23/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61gNvCY0oWL._AC_UL900_SR900,600_.jpg",123.99,173,4.0
Cuisine et Maison,Chauffage et climatisation,Rubson Sensation Pure | Absorbeur d'humidité pour petites pièces de 10 m² (1 appareil + 1 recharge parfum neutre) – Déshumidificateur anti-humidité et anti-odeur,https://www.amazon.fr/Rubson-1554072-Sensation-Absorbeur-dHumidit%C3%A9/dp/B008F8IDPS/ref=zg_bs_g_3332669031_d_sccl_24/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61SM2avpf7L._AC_UL900_SR900,600_.jpg",11.59,2699,4.3
Cuisine et Maison,Chauffage et climatisation,"MIDEA Deshumidificateur d air electrique 20L - Adsorbeur d'humidité pour la maison, salle de bain, cave et garage - Surface de travail 40 m2 - Déshumidificateurs Anti Moisissures et Anti Humidité",https://www.amazon.fr/MIDEA-Deshumidificateur-air-electrique-D%C3%A9shumidificateurs/dp/B08HYV65KG/ref=zg_bs_g_3332669031_d_sccl_25/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61we6FMlvML._AC_UL900_SR900,600_.jpg",186.99,10238,4.2
Cuisine et Maison,Chauffage et climatisation,"Pro Breeze Mini Radiateur Céramique 2000 W - 3 Niveaux de Puissance - Chauffage d'appoint Compact pour bureau, chambre, salon - Blanc",https://www.amazon.fr/Pro-Breeze-Mini-Radiateur-C%C3%A9ramique/dp/B089M91Y86/ref=zg_bs_g_3332669031_d_sccl_26/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71Nzbui5tKL._AC_UL900_SR900,600_.jpg",42.99,5480,4.4
Cuisine et Maison,Chauffage et climatisation,"Cecotec Chauffage d'Appoint ReadyWarm 2050 Max Dual Blanc. 2000 W, 2 Niveaux de Puissance, 3 Modes de Fonctionnement (Froid/Chaud/Très chaud), Léger, Manuel, Silencieux, Sécurité d'Arrêt Automatique",https://www.amazon.fr/Cecotec-Chauffage-Fonctionnement-Silencieux-Automatique/dp/B0BPZTWGNS/ref=zg_bs_g_3332669031_d_sccl_27/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71hxK-GQ41L._AC_UL900_SR900,600_.jpg",22.99,371,4.3
Cuisine et Maison,Chauffage et climatisation,"CONOPU Lot de 10x 248g(2.5kg) Déshumidificateurs d'armoire, Absorbeur d'humidité, Débarrassez-vous de l'humidité pour les Sous-sols, Placards, Buanderies, élimine les Odeurs Désagréables sans Parfum",https://www.amazon.fr/CONOPU-D%C3%A9shumidificateurs-D%C3%A9barrassez-vous-Buanderies-D%C3%A9sagr%C3%A9ables/dp/B0B8D9ZMQX/ref=zg_bs_g_3332669031_d_sccl_28/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81qH8WsmVEL._AC_UL900_SR900,600_.jpg",27.99,2467,4.5
Cuisine et Maison,Chauffage et climatisation,"Rubson Minifresh | Absorbeur d’humidité parfum lavande (2 sachets de 50 g) – Idéal pour dressing, penderie, tiroir et placard – Efficace jusqu'à 6 semaines",https://www.amazon.fr/Rubson-1940377-Minifresh-dAbsorbeur-dhumidit%C3%A9/dp/B00T49L232/ref=zg_bs_g_3332669031_d_sccl_29/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71wq37f-+nL._AC_UL900_SR900,600_.jpg",5.6,960,4.2
