first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Jeux vidéo,Xbox Series X,Xbox Carte Cadeau 10 EUR [Code Digital],https://www.amazon.fr/Cr%C3%A9dit-Xbox-Live-EUR-t%C3%A9l%C3%A9charger/dp/B0186L0UIG/ref=zg_bs_g_20904298031_d_sccl_2/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61J4f-DZV3L._AC_UL900_SR900,600_.jpg",10.0,0,4.5
Jeux vidéo,Xbox Series X,"Xbox Manette sans fil Carbon Black avec Câble USB-C pour PC, Xbox Series X, Xbox Series S, Xbox One, Windows 10 & 11, Android et iOS",https://www.amazon.fr/Nouvelle-Manette-Xbox-avec-C%C3%A2ble/dp/B08JW624NN/ref=zg_bs_g_20904298031_d_sccl_3/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51nrvacJ3hL._AC_UL900_SR900,600_.jpg",59.93,0,4.5
Jeux vidéo,Xbox Series X,"Carte Cadeau Roblox - 2,000 Robux (article virtuel exclusif inclus] (Code digital pour ordinateur, téléphone, tablette, Xbox One, Xbox Series X|S, Oculus Rift et HTC Vive)",https://www.amazon.fr/Carte-cadeau-Roblox-2-000-Robux/dp/B081KHWHP4/ref=zg_bs_g_20904298031_d_sccl_4/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/712CXrtacjL._AC_UL900_SR900,600_.jpg",25.0,0,4.4
Jeux vidéo,Xbox Series X,EA SPORTS FC 25 Standard Edition XBOX Series X|S / XBOX One | Jeu Vidéo | Français,https://www.amazon.fr/SPORTS-Standard-XBOX-Vid%C3%A9o-Fran%C3%A7ais/dp/B0D988Q37Q/ref=zg_bs_g_20904298031_d_sccl_5/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81sRNFc4RmL._AC_UL900_SR900,600_.jpg",65.99,0,0.0
Jeux vidéo,Xbox Series X,Xbox Play en Charge Kit USB voor Xbox Series X,https://www.amazon.fr/Xbox-Play-Charge-Kit-voor/dp/B08FCXLB8Z/ref=zg_bs_g_20904298031_d_sccl_6/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51jQRlOoTtS._AC_UL900_SR900,600_.jpg",22.99,0,4.5
Jeux vidéo,Xbox Series X,"Xbox Manette sans Fil - Carbon Black Pour Xbox Series X, Xbox Series S, Xbox One, Windows 10 & 11, Android et iOS - Noir",https://www.amazon.fr/Microsoft-Xbox-Controller/dp/B07SDFLVKD/ref=zg_bs_g_20904298031_d_sccl_7/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/710KQDrOyYL._AC_UL900_SR900,600_.jpg",58.27,0,4.6
Jeux vidéo,Xbox Series X,"Xbox Manette sans Fil - Pulse Red Pour Xbox Series X, Xbox Series S, Xbox One, Windows 10 & 11, Android et iOS - Rouge",https://www.amazon.fr/Manette-Xbox-rouge-sans-Fil/dp/B08SRMPBRF/ref=zg_bs_g_20904298031_d_sccl_8/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71KoRdQ6I6L._AC_UL900_SR900,600_.jpg",59.95,0,4.6
Jeux vidéo,Xbox Series X,Xbox Manette Sans Fil Bleue - Shock Blue,https://www.amazon.fr/Nouvelle-Manette-Xbox-Sans-fil/dp/B087VMGP5G/ref=zg_bs_g_20904298031_d_sccl_9/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51ya-Ybs2EL._AC_UL900_SR900,600_.jpg",58.27,0,4.6
Jeux vidéo,Xbox Series X,"Manette filaire PowerA pour Xbox Series X|S - Noir, manette de jeu vidéo filaire, compatible avec Xbox One",https://www.amazon.fr/PowerA-Wired-Controller-%C3%8D-Black/dp/B08F4444HM/ref=zg_bs_g_20904298031_d_sccl_10/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71S-R80KhsL._AC_UL900_SR900,600_.jpg",34.99,0,4.1
Jeux vidéo,Xbox Series X,DRAGON BALL: Sparking! ZERO (XBOX SERIES),https://www.amazon.fr/DRAGON-BALL-Sparking-ZERO-XBOX/dp/B0D6NK664Q/ref=zg_bs_g_20904298031_d_sccl_11/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81xVrURhYtL._AC_UL900_SR900,600_.jpg",62.99,0,0.0
Jeux vidéo,Xbox Series X,"Fenolical Station de Charge pour Manette DualSense PS5 & Edge, Station de Chargeur Tactile, Chronométrée, Station de Charge de Jeu Playstation5 Multifonctionnelle à éclairage Librement Contrôlable.",https://www.amazon.fr/Fenolical-Chronom%C3%A9tr%C3%A9e-Playstation5-Multifonctionnelle-Contr%C3%B4lable/dp/B0CPLDWP5Q/ref=zg_bs_g_20904298031_d_sccl_12/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71PdE6d1bRL._AC_UL900_SR900,600_.jpg",14.66,966,4.5
Jeux vidéo,Xbox Series X,"Xbox Manette sans Fil - Velocity Green Pour Xbox Series X, Xbox Series S, Xbox One, Windows 10 & 11, Android et iOS",https://www.amazon.fr/Manette-Xbox-sans-Fil-Velocity/dp/B0BSGYSK88/ref=zg_bs_g_20904298031_d_sccl_13/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71wKdxyeDUL._AC_UL900_SR900,600_.jpg",59.99,0,4.6
Jeux vidéo,Xbox Series X,"Carte Cadeau Roblox - 4,500 Robux (article virtuel exclusif inclus] (Code digital pour ordinateur, téléphone, tablette, Xbox One, Xbox Series X|S, Oculus Rift et HTC Vive)",https://www.amazon.fr/Carte-cadeau-Roblox-4-500-Robux/dp/B081KJ6QV4/ref=zg_bs_g_20904298031_d_sccl_14/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/715vMsIhO1L._AC_UL900_SR900,600_.jpg",50.0,0,4.4
Jeux vidéo,Xbox Series X,"Mutree Manette Switch sans fil, Wireless Manettes de Switch Controller Compatible avec Switch/OLED/Lite, avec Fonction Turbo/Gyroscope 6 Axes/Double Vibration/Réveil/Capture D'écran",https://www.amazon.fr/Mutree-Controller-Compatible-Gyroscope-Vibration/dp/B0DD45RS33/ref=zg_bs_g_20904298031_d_sccl_15/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71VPXlsKHSL._AC_UL900_SR900,600_.jpg",32.99,0,4.7
